-------------------------------------------------------------------------------					
					
d13C(CH4) data of the clean air monitoring station Izaña					
					
-------------------------------------------------------------------------------					
					
Institut für Umweltphysik (IUP)					
					
University of Heidelberg, Germany					
					
-------------------------------------------------------------------------------					
					
LAST UPDATE: 05/2017					
					
CONTRIBUTORS: C.Veidt, C.Poß, and I. Levin					
					
-------------------------------------------------------------------------------					
					
SAMPLING LOCATION:					
					
Izaña, Tenerife, Spain					
					
28.30°N  16.48°W  2367m a.s.l.					
					
1997.018	1997.057	1789.2	2.9	-47.47	0.07
1997.095	1997.133	1795.6	2.2	-47.58	0.07
1997.172	1997.210	1795.8	3.0	-47.52	0.10
1997.325	1997.363	1804.0	2.8	-47.40	0.10
1997.443	1997.478	1782.4	0.5	-47.31	0.07
1997.478	1997.517	1790.5	3.0	-47.19	0.10
1997.517	1997.555	1799.2	2.0	-47.46	0.10
1997.593	1997.632	1768.1	1.5	-47.43	0.02
1997.670	1997.708	1764.2	0.1	-47.39	0.02
1997.708	1997.747	1781.4	1.9	-47.62	0.03
1997.823	1997.862	1783.1	1.9	-47.58	0.02
1997.862	1997.900	1797.6	2.7	-47.79	0.10
1997.900	1997.938	1797.5	1.3	-47.47	0.02
1997.938	1997.974	1801.2	2.8	-47.67	0.07
1997.974	1998.012	1801.1	1.6	-47.52	0.02
1998.015	1998.053	1796.6	2.4	-47.40	0.10
1998.053	1998.092	1792.3	1.5	-47.50	0.02
1998.398	1998.475	1791.1	2.6	-47.37	0.10
1998.478	1998.552	1788.5	1.6	-47.34	0.02
1998.667	1998.741	1791.3	1.9	-47.47	0.02
1998.820	1998.897	1804.8	1.7	-47.47	0.02
1998.973	1999.077	1815.8	1.4	-47.50	0.02
-------------------------------------------------------------------------					
